year,country,institution,uni_rank,uni_score,score_gap_parent,entered_top100_parent,top_uni_parent
2019,Brazil,Universidade Federal do Rio de Janeiro,361,30.3,-4.8,0,Universidade de São Paulo
2019,Norway,University of Bergen,171,46.8,-8.4,0,University of Oslo
2019,Spain,Universitat de Barcelona,166,47.8,-11.8,0,Universidad Autónoma de Madrid
2019,Spain,Complutense University of Madrid,206,43.2,-11.8,0,Universidad Autónoma de Madrid
2019,Spain,Universitat Pompeu Fabra (Barcelona),298,34.6,-11.8,0,Universidad Autónoma de Madrid
2019,India,Indian Institute of Science,170,47.1,-12.1,0,Indian Institute of Technology Bombay (IITB)
2019,India,University of Delhi,487,24.2,-12.1,0,Indian Institute of Technology Bombay (IITB)
2019,Italy,Sapienza University of Rome,217,41.8,-12.6,0,Sant'Anna - Scuola Universitaria Superiore Pisa
2019,Italy,Università di Padova,249,38.2,-12.6,0,Sant'Anna - Scuola Universitaria Superiore Pisa
2019,Italy,University of Milan,325,32.5,-12.6,0,Sant'Anna - Scuola Universitaria Superiore Pisa
2019,Saudi Arabia,King Saud University,256,37.6,-15.2,0,King Fahd University of Petroleum & Minerals
2019,Malaysia,Universiti Sains Malaysia (USM),207,43.0,-16.5,0,Universiti Putra Malaysia (UPM)
2019,Malaysia,Universiti Teknologi Malaysia ,228,40.5,-16.5,0,Universiti Putra Malaysia (UPM)
2019,Kazakhstan,Auezov South Kazakhstan University (SKU),480,24.5,-19.0,0,Al-Farabi Kazakh National University
2019,Israel,Technion - Israel Institute of Technology,247,38.4,-20.0,0,Tel Aviv University
2019,Thailand,Mahidol University,380,29.1,-24.0,0,Chulalongkorn University
2020,United States,Stanford University,2,98.4,40.1,1,Massachusetts Institute of Technology (MIT) 
2020,United States,Harvard University,3,97.4,40.1,1,Massachusetts Institute of Technology (MIT) 
2020,United States,California Institute of Technology (Caltech),5,96.9,40.1,1,Massachusetts Institute of Technology (MIT) 
2020,United States,University of Chicago,10,92.0,40.1,1,Massachusetts Institute of Technology (MIT) 
2020,United States,Princeton University,13,90.9,40.1,1,Massachusetts Institute of Technology (MIT) 
2020,United States,Cornell University,14,89.3,40.1,1,Massachusetts Institute of Technology (MIT) 
2020,United States,University of Pennsylvania,15,88.9,40.1,1,Massachusetts Institute of Technology (MIT) 
2020,United States,Yale University,17,87.7,40.1,1,Massachusetts Institute of Technology (MIT) 
2020,United States,Columbia University,18,87.4,40.1,1,Massachusetts Institute of Technology (MIT) 
2020,United States,University of Michigan-Ann Arbor,21,86.0,40.1,1,Massachusetts Institute of Technology (MIT) 
